Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,51,0.21013805276229472,50
55,147,0.17370924426035647,140
54,76,0.14785574752437397,55
53,32,0.18025916773415918,24
52,28,0.2851692156934898,19
51,118,0.22529197416299013,104
50,88,0.294284615304376,73
49,129,0.22973395084054757,125
48,150,0.2190211974064179,106
47,214,0.19858880446939625,198
46,178,0.15271577018956906,133
45,46,0.1620078917460844,23
44,1207,0.09826986822301903,1162
43,151,0.20740645345174386,2
42,675,0.14324850285799526,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.3998266981703927,2
36,28,,
35,3,0.5240266350482752,1
34,11,0.21867284561175906,2
33,16,0.27178046662238875,9
32,14,0.19801703023404377,1
31,55,0.2331282440193834,4
30,6,0.2500629603371876,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
