Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,51,,
55,150,0.32939159944400387,144
54,68,0.14674667671341676,51
53,38,0.19510782787399172,26
52,25,0.2507748785263864,18
51,116,0.17190988902989002,101
50,87,0.3061013599241373,69
49,138,0.160780630184593,130
48,144,0.1805713542704948,105
47,216,0.1691634349620169,199
46,174,0.1284428727078246,130
45,49,0.12886173084686273,23
44,1206,0.08299082084527844,1161
43,152,0.2995937748031642,2
42,675,0.25755168885553736,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.18840586342924084,2
36,28,,
35,3,0.38898596947116526,1
34,13,0.09761917504269516,4
33,14,0.09728442681422932,9
32,14,0.2551898039597203,1
31,56,0.3051539564123311,5
30,5,0.22653752776092054,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
