Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,51,,
55,147,0.15089436356849573,141
54,74,0.13852488246760694,54
53,36,0.15562769447324837,27
52,24,0.1728239301678493,18
51,117,0.15686328445454875,102
50,85,0.16722215446258915,68
49,138,0.16145190610163485,129
48,148,0.2272212902854738,108
47,204,0.18390861968516425,190
46,177,0.14567178882241041,124
45,57,0.16251706936879248,25
44,1213,0.07319926591348329,1170
43,143,0.3490880411091342,2
42,675,0.3388215616884403,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.1477187326864104,2
36,28,,
35,3,0.341370496388,1
34,13,0.1262316491824331,4
33,16,0.12570633226682004,11
32,12,0.34101967898024543,1
31,55,0.2975,4
30,6,0.28110686938307067,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
