Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,52,,
55,140,0.31123847309132974,135
54,76,1.9820624829173463,50
53,39,0.183524236249236,26
52,26,1.8907779800298774,19
51,117,0.7642769690899595,103
50,81,79115501.93145692,65
49,141,2.8427539898732466,129
48,150,7.103589608742029,110
47,206,1.42550696868306,194
46,176,0.34051967893421226,127
45,56,0.14652022554910465,27
44,1217,0.06820095328050158,1176
43,137,0.3954700341997627,2
42,675,0.31557426425233537,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.1550645760266781,2
36,28,,
35,3,0.38346123462235165,1
34,11,0.03942464731862014,2
33,17,0.11343892650272301,10
32,13,0.3859690663672254,1
31,54,0.24784895146499278,3
30,5,,
29,11,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
