Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,48,,
55,144,0.15246577629433955,135
54,80,0.145699636426003,54
53,37,0.13091037290378388,28
52,23,0.2896586542709011,18
51,115,0.25765018424311964,100
50,89,0.31328236607811927,70
49,135,0.2814860141463701,128
48,149,0.2426884253521555,108
47,201,0.20765560395581972,187
46,186,0.15916622834136024,130
45,51,0.17213830541087477,25
44,1219,0.09702690960973821,1176
43,137,0.250266467900043,2
42,675,0.39787118352578665,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.3289486014498537,2
36,28,,
35,3,0.26859199301703723,1
34,12,0.03613651618399416,3
33,17,0.1921252674105568,11
32,12,0.0004788835253990986,1
31,56,0.19669608365790103,5
30,5,0.29752315977438815,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
