Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,49,,
55,153,0.14004971498323848,145
54,66,0.13252997320318197,50
53,40,0.11244810242675993,27
52,23,0.24020533542301223,17
51,121,0.1499720814974941,105
50,80,0.18561211202297428,66
49,137,0.15383580881508196,126
48,152,0.17827613966516792,109
47,207,0.16353276607786751,194
46,174,0.13239414829601862,125
45,56,0.11840526799968358,25
44,1216,0.08490265213599232,1173
43,140,0.28989048111690513,2
42,674,,
41,5,,
40,1,,
39,3,,
38,1,,
37,7,0.18909944604405898,2
36,28,,
35,3,0.2707270734338291,1
34,12,0.13630161001792937,3
33,16,0.13745554364926837,10
32,13,0.370725001956872,1
31,54,0.26938303382269246,3
30,7,0.23596818510264855,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
