Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,48,,
55,152,0.14107472689589987,143
54,72,0.12429661300027495,54
53,36,0.10918457461371317,27
52,24,0.22769629274423966,18
51,115,0.16777603607007427,100
50,88,0.1854533241834811,69
49,138,0.15296551636854322,130
48,146,0.1718408652248635,107
47,215,0.15791855897729323,200
46,168,0.13739218840946554,125
45,57,0.12944826699222595,26
44,1206,0.08460096722571502,1164
43,149,0.2988356848844598,2
42,675,0.16648858503429562,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.18160625698309124,2
36,28,,
35,3,0.20979037361158714,1
34,12,0.07861523959732057,3
33,15,0.13091825922791003,9
32,14,0.33915193292028223,1
31,54,0.24120363607276948,3
30,7,0.23916729236667705,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
