Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,52,,
55,148,0.7765891044061303,144
54,69,0.892077679421283,51
53,38,0.7448336954508498,28
52,22,0.4450507006772331,17
51,128,0.3953026493366527,10
50,81,40.817626310069144,60
49,130,23.666128661730777,123
48,156,11.524631533337368,124
47,200,20.606516131172715,172
46,181,11.964558717247963,151
45,54,10.001944287031383,27
44,1338,9.960806910379896,42
43,17,8.831677490206195,1
42,609,9.98085843014565,608
41,70,,
40,1,,
39,3,,
38,1,,
37,7,8.115482693957745,5
36,28,,
35,2,,
34,13,21.6945125462226,8
33,15,61.26505097003889,14
32,14,53.056497518270426,3
31,52,17.74974999799784,23
30,9,6.4300546489201045,5
29,8,24.965694068894503,7
28,5,7.798695120837287,4
27,11,6.930212878608821,5
26,8,7.885128238476714,6
25,62,8.149473359268274,43
24,5,,
23,3,,
19,1,,
16,1,,
