Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,51,,
55,147,2.85541059858962,142
54,70,2.3780780231476513,50
53,40,2.893450966793356,29
52,26,2.4379587744068445,22
51,126,2.304516020726319,13
50,75,51.028087426456274,57
49,137,12.249404631778622,127
48,149,8.713596224867237,121
47,197,9.406365488004285,166
46,187,3.349152398153531,151
45,55,3.4827047924942254,28
44,1340,1.4479129688590655,45
43,14,1.4575853418258002,1
42,610,1.7537067693969253,609
41,69,,
40,1,,
39,3,,
37,8,2.5337083155718405,5
36,28,,
35,3,,
34,11,26.92583211810809,7
33,18,19.99330948971442,16
32,12,31.06359956306063,3
31,54,9.239809730641431,25
30,6,15.007202035714474,4
29,10,9.285676780733644,8
28,4,,
27,13,19.604574605775515,7
26,5,,
25,57,17.91934593313848,37
24,11,,
23,3,,
19,1,,
16,1,,
