Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,49,,
55,154,5.578722789115647,147
54,67,6.248101923076923,52
53,37,17.54290714285714,28
52,26,17.770978571428568,21
51,127,18.00439615384615,13
50,74,34.66043035714286,56
49,140,17.718685813345775,129
48,150,17.769600937198977,124
47,200,17.297619758191985,172
46,181,9.90819750684127,151
45,50,10.510057627497304,23
44,1340,5.628741061208922,40
43,19,10.162109767449182,1
42,605,5.732124269087834,604
41,74,,
40,1,,
39,3,,
38,1,,
37,6,8.30001364233821,4
36,29,,
35,3,,
34,11,22.32585079341978,7
33,16,25.09564067110628,14
32,14,40.18092450672695,3
31,52,17.955053370794378,23
30,8,10.637573622552932,4
29,10,15.283253258345212,8
28,3,,
27,14,21.35039949968639,7
26,4,,
25,66,21.143302683487892,45
24,3,,
23,3,,
19,1,,
16,1,,
