Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,51,,
55,152,4.2905991200982445,147
54,68,1.4221968663707538,53
53,39,4.02658553033589,31
52,22,11.704593493832238,20
51,128,27.596370036891045,13
50,76,21279256673.61437,58
49,133,115513.5774843942,124
48,147,157.1400350739028,116
47,208,159.8507269446262,172
46,176,1386.0928721991543,146
45,57,377.9922035372691,25
44,1341,325.5038126801519,43
43,15,,
42,610,430.90820969608103,608
41,70,,
40,1,,
39,3,,
38,1,,
37,6,73.14952683938382,4
36,29,,
35,2,,
34,13,18.01629595387371,8
33,16,67.99743715989928,15
32,13,182.70915261534452,3
31,54,499.19834595591647,25
30,6,344.70325231557854,4
29,10,560.3506582416549,8
28,3,,
27,13,421.25340553621015,6
26,6,400.5055668687244,5
25,65,401.6585466299713,45
24,3,,
23,3,,
19,1,,
16,1,,
