Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,47,,
55,156,0.6289272933798172,147
54,69,1.5483688345762856,54
53,34,0.6533199797998346,27
52,27,1.036326394283152,21
51,125,0.6680614513502426,11
50,76,35.869516110575546,56
49,134,12.403101276927996,123
48,152,11.405941082277607,120
47,196,10.935335315497637,164
46,191,4.505606301987507,153
45,52,2.4539439560972762,27
44,1341,2.7718380802024756,45
43,14,11.733400666719778,1
42,614,4.347548150688529,613
41,65,,
39,4,2.38950213264762,3
38,1,,
37,6,1.530101608125301,4
36,29,,
35,3,,
34,13,15.507778919858897,9
33,14,,
32,14,43.50092842700012,3
31,54,11.060377159841282,25
30,6,19.328277987679257,4
29,8,16.66938258088218,6
28,5,48.753509894355275,3
27,14,28.178902527956325,7
26,6,,
25,62,42.65791449030387,43
24,5,,
23,3,,
19,1,,
16,1,,
