Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,55,,
55,143,0.5740433091733153,142
54,74,0.825687925726211,54
53,34,0.43822905452094846,27
52,28,0.4856189970117513,22
51,125,0.402785369053635,12
50,73,38.759776022949524,54
49,143,11.180461294742521,130
48,147,10.569804315031178,122
47,209,9.946696003841785,179
46,171,3.9715471186420936,148
45,54,2.7117547218442732,24
44,1342,2.6465666961121874,43
43,16,12.956382077147696,1
42,596,4.323664079821201,595
41,83,,
40,1,,
39,2,,
38,2,0.7429132247267525,1
37,6,1.401666412641153,4
36,29,,
35,3,,
34,13,15.205492845711765,9
33,16,,
32,12,43.028324454678746,3
31,53,10.33440928050957,24
30,8,15.930741820894214,5
29,9,13.183886704420088,8
28,3,,
27,13,26.155892035618233,6
26,7,76.89053381677685,6
25,60,40.8002316485667,41
24,7,,
23,3,,
19,1,,
16,1,,
