Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,49,2.783920744680851,47
55,153,0.8905797824947589,144
54,70,1.5913257528146885,52
53,38,0.8410601267510595,29
52,26,0.6723987961615249,22
51,125,0.5250155229067452,12
50,77,40.95695081242774,58
49,135,22.30041564366748,126
48,151,11.025924602597465,122
47,203,20.54593859271809,173
46,176,11.828821988777099,147
45,54,9.869091874989715,23
44,1346,9.86257595243448,46
43,13,8.700331008926605,1
42,609,9.852647607426611,608
41,70,,
40,1,,
39,3,,
38,1,,
37,7,8.008489780539911,5
36,28,,
35,3,,
34,13,20.031492670760088,9
33,14,,
32,14,53.023676943792445,3
31,51,21.477632520623025,22
30,9,6.9029900221248255,4
29,9,25.001094407213888,7
28,5,7.724510103318156,4
27,11,6.969033370568283,5
26,8,7.8110158219328945,6
25,64,8.029957500286544,45
24,3,,
23,3,,
19,1,,
16,1,,
