Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,50,,
55,154,0.23746756756756757,148
54,65,0.9085196078431372,51
53,41,0.39772580645161293,31
52,21,0.5096210526315789,19
51,129,0.11353076923076924,13
50,79,36.32067540983606,61
49,131,12.3261032,125
48,154,6.031960483870968,124
47,201,5.028423121387283,173
46,174,1.8998937931034483,145
45,56,0.5984217391304347,23
44,1343,0.07957906976744186,43
43,16,0.07000000000000006,1
42,599,0.06827959866220737,598
41,80,,
40,1,,
39,3,,
37,8,0.034080000000000006,5
36,28,,
35,3,,
34,13,14.875555555555556,9
33,12,,
32,15,44.7515,2
31,55,8.776720000000001,25
30,7,0.6202,5
29,9,5.033625,8
28,4,,
27,12,7.501016666666667,6
26,7,3.2401666666666666,6
25,65,5.636247826086956,46
24,2,,
23,3,,
19,1,,
16,1,,
