Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,50,2.689582396621061,49
55,149,0.7175324843245099,142
54,70,0.9991424324202252,50
53,39,0.5242685547865291,28
52,25,0.6164802985101353,20
51,126,0.5775171972118516,11
50,76,38.45442758126771,56
49,133,11.86153646894994,122
48,152,11.626109668105174,119
47,212,10.317301225649103,179
46,173,4.658473264845678,150
45,53,3.1578956113785512,25
44,1341,2.6276615070227916,43
43,16,12.15556879633922,1
42,615,4.3580022858646865,614
41,64,,
40,1,,
39,2,,
38,2,0.8484607814671933,1
37,7,1.071456123165138,5
36,28,,
35,3,,
34,11,18.60722696156733,7
33,17,32.470631624208586,15
32,13,43.09052997293472,3
31,52,12.389430876382425,23
30,9,16.070042993795212,5
29,8,15.06589135010438,7
28,5,53.80511535336819,4
27,12,17.97420463912813,6
26,7,69.83834212244119,6
25,63,35.55640216815724,44
24,4,,
23,3,,
19,1,,
16,1,,
