Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,47,2.8644716254459954,46
55,149,3.1211776065132337,139
54,77,3.261865420392425,54
53,35,3.3308449934076463,28
52,25,7.80284596029585,20
51,127,14.69344056138468,12
50,76,136383578780.2564,57
49,133,17360.048783317157,123
48,149,16570.822337870206,117
47,215,2131860.2103219246,180
46,171,3727201.6261675246,149
45,56,464006289.59555995,27
44,1342,1377490433.6805217,46
43,13,102658967.86206155,1
42,608,122101212.30936961,607
41,71,,
40,1,,
39,2,,
38,2,285652637.6900263,1
37,6,823109589.5647264,4
36,29,,
35,3,,
34,12,10170287744.694231,8
33,15,11108145150.769102,14
32,14,9242791498.81864,3
31,55,15102927645.334595,26
30,5,8116354464.70385,4
29,9,8217592856.666963,7
28,5,2157002731.6691947,4
27,13,3430741588.0816917,7
26,6,,
25,64,11040961074.467783,45
24,3,,
23,3,,
19,1,,
16,1,,
