Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,51,2.2086875999999998,50
55,145,0.8689893088386437,139
54,75,1.4270392531846263,52
53,37,0.7192542882378995,28
52,25,0.6568632317886882,20
51,128,0.48950983816062066,13
50,77,43.27427056424087,59
49,139,23.590778114119473,131
48,139,10.876887343530399,115
47,218,21.331402823458266,181
46,167,11.737503290844058,146
45,59,10.349885050777713,27
44,1335,10.312637387689257,39
43,20,9.157888852514946,1
42,607,10.305220042747086,606
41,72,,
40,1,,
39,3,,
38,1,,
37,6,8.36363970970576,4
36,29,,
35,2,,
34,14,19.919233892864348,9
33,15,,
32,13,53.1458265628371,3
31,54,19.608440059810764,25
30,6,6.165191654363472,4
29,9,25.129619602840876,7
28,5,8.088385836472355,4
27,11,7.059686192075043,5
26,7,8.200830220663148,5
25,66,8.411169595384743,46
24,2,,
23,3,,
19,1,,
16,1,,
