Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,47,,
55,148,1.5821146976247307,139
54,80,1.6010199846255582,57
53,33,12.19406151661226,29
52,24,19.88463973113604,20
51,125,108.23378277209525,10
50,84,621536391496.4177,63
49,128,6113.035042608242,124
48,150,273.54467698994745,119
47,209,7296.05066667658,176
46,170,299.6980471505315,144
45,61,1183.9157640214205,27
44,1339,569.1905165181416,43
43,16,94.43085737985011,1
42,615,114.39565609892244,614
41,64,,
40,1,,
39,2,,
38,2,94.14080884457647,1
37,7,108.20089504775058,5
36,28,,
35,3,,
34,12,1146.8160214053644,8
33,15,1032.9134096489538,14
32,12,253.75591394161953,1
31,55,230.24092900930248,24
30,7,249.65733745907872,4
29,8,225.60161486481698,6
28,5,250.31135164036868,3
27,13,248.01462121460088,6
26,6,249.57200840496589,5
25,64,249.43269992724655,44
24,4,,
23,3,,
19,1,,
16,1,,
