Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,49,20.29446819880038,47
55,149,5.179788462380625,140
54,74,3.9955995646946905,52
53,38,2.813997618038468,29
52,26,3.2386520354327537,22
51,126,7.050167180573417,13
50,76,42.406826320535075,58
49,134,13.424566604205657,125
48,151,8.635672716146304,121
47,206,9.983924719809826,175
46,172,3.191038038520256,145
45,59,2.4933716674286694,26
44,1339,2.5472422539714654,42
43,17,9.980579797966575,1
42,615,2.2806797652731254,614
41,64,,
40,1,,
39,3,,
38,1,,
37,7,1.7577805421231731,5
36,28,,
35,3,,
34,11,17.5674328669569,7
33,16,23.15308071056995,14
32,14,39.69673625216485,3
31,54,10.627575646070342,25
30,5,13.71852071079084,3
29,11,15.281583690650546,8
28,3,,
27,14,18.94306980922414,7
26,6,,
25,62,20.655641712325888,43
24,5,,
23,3,,
19,1,,
16,1,,
