Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,53,5.284023076923077,52
55,146,5.62200633802817,142
54,73,6.179516981132075,53
53,36,17.529585714285712,28
52,27,17.781504545454542,22
51,125,18.000091666666663,12
50,78,34.950578813559325,59
49,126,19.16633409526726,118
48,155,17.741453502731158,118
47,205,17.599286633062526,171
46,183,10.275820360447558,152
45,51,9.362490211133933,25
44,1344,5.460547290283842,46
43,12,,
42,615,5.632296507781943,613
41,65,,
40,1,,
39,2,,
38,2,6.10605676366716,1
37,6,7.25423028351525,4
36,29,,
35,2,,
34,13,22.99125234034398,8
33,14,23.289313530229276,13
32,15,42.11806682901959,3
31,55,17.534140235336416,26
30,5,9.626768421497605,4
29,8,17.864745003876624,6
28,6,51.944596416654676,4
27,13,20.00885717642352,7
26,6,,
25,62,20.59376285042781,43
24,5,,
23,3,,
19,1,,
16,1,,
