Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,49,2.188425,48
55,149,0.2860165390070922,141
54,77,1.5857314999999998,56
53,34,0.560864,29
52,26,0.23625945454545458,22
51,126,0.07706092307692307,13
50,74,43.03874294285714,56
49,136,14.25687323136,125
48,140,7.765099668363637,110
47,221,9.193831334078212,179
46,172,2.549830592214765,149
45,55,0.8836707076923077,26
44,1339,0.47709575619047623,42
43,17,0.32600659199999993,1
42,611,0.4751801531761311,610
41,68,,
40,1,,
39,3,,
38,1,,
37,7,0.08494991999999998,5
36,28,,
35,2,,
34,13,12.576040500000001,8
33,16,28.919304576,15
32,13,44.35034629333333,3
31,54,10.221218149632,25
30,5,1.7894383039999997,3
29,10,16.925248624457144,7
28,5,62.61145500000001,4
27,13,16.67176457055086,7
26,6,,
25,63,12.606600479624147,44
24,4,,
23,3,,
19,1,,
16,1,,
