Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,51,,
55,149,5.591956944444445,144
54,66,6.066324999999999,48
53,40,17.646790740740737,27
52,26,17.758114999999997,20
51,128,18.00439615384615,13
50,79,34.97556147540984,61
49,136,17.360398766916283,130
48,147,17.75578207646012,122
47,204,15.101354541596702,174
46,176,9.184220465862134,148
45,55,8.806834377252185,25
44,1340,3.914032278884319,42
43,17,2.3867162217298965,1
42,603,8.53282363075904,602
41,76,,
39,4,1.304035331835135,3
38,1,,
37,7,4.799997313695583,5
36,28,,
35,2,,
34,13,21.061440150245893,8
33,17,23.83996828972844,16
32,12,36.12393939108019,3
31,53,17.491642358529855,24
30,8,21.154765901524453,5
29,9,8.597110235290344,8
28,4,,
27,11,35.250426219900376,5
26,8,83.88361419676612,6
25,61,32.10706785445514,42
24,6,,
23,3,,
19,1,,
16,1,,
