Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,51,22.64305823327184,49
55,150,4.868378007811718,143
54,71,3.584378435031612,52
53,37,3.242589894073371,28
52,27,2.993870727954218,22
51,125,2.0172368909979386,12
50,76,38.398081807599375,57
49,136,11.835287726349943,126
48,150,7.570369400256117,121
47,207,8.593277513570168,176
46,177,3.8529718774229056,151
45,52,3.7975011296077144,25
44,1340,1.9855675969204134,42
43,17,10.18889536389438,1
42,608,2.895852823888182,607
41,71,,
40,1,,
39,3,,
38,1,,
37,7,5.218500196960037,5
36,28,,
35,2,,
34,14,11.592748764015667,9
33,15,,
32,13,39.441587913727,3
31,52,11.737122656231778,23
30,8,1.9169464901681705,4
29,8,14.113117466357664,6
28,5,7.939988604976374,3
27,14,13.744081411427782,7
26,5,,
25,63,22.713998860276917,43
24,5,,
23,3,,
19,1,,
16,1,,
