Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,52,,
55,146,0.2953704225352113,142
54,70,0.6600959999999999,50
53,40,0.4133344827586207,29
52,24,0.169635,20
51,127,0.22276666666666664,12
50,74,40.395416363636365,55
49,134,11.39065,122
48,153,6.49122,120
47,213,7.080854143646409,181
46,173,1.2793934210526317,152
45,50,0.1909708333333333,24
44,1337,0.10297894736842104,38
43,21,2.45,1
42,610,0.11843399014778326,609
41,69,,
40,1,,
39,3,,
38,1,,
37,6,0.16622500000000004,4
36,29,,
35,1,,
34,15,7.687777777777778,9
33,15,,
32,13,20.7806,3
31,54,9.47292,25
30,7,0.19321999999999978,5
29,8,5.159657142857143,7
28,5,17.0705,4
27,13,5.4310857142857145,7
26,5,,
25,63,4.679990697674418,43
24,5,,
23,3,,
19,1,,
16,1,,
