Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,54,,
55,144,5.575045070422536,142
54,69,5.728712244897959,49
53,43,10.635196774193547,31
52,23,10.820647619047618,21
51,124,11.057199999999998,10
50,78,35.847633333333334,57
49,136,15.981340933433259,126
48,148,17.675392036421083,119
47,210,13.62067722290672,177
46,175,8.441295411451987,150
45,52,8.930720306460277,24
44,1339,5.4404821581234115,40
43,19,0.23135606359750227,1
42,611,8.997495339778286,610
41,68,,
40,1,,
39,2,,
38,2,0.48548810413715343,1
37,7,8.218892030695267,5
36,28,,
35,3,,
34,13,20.986601772445738,9
33,15,,
32,13,30.051435689789173,3
31,52,16.65263892734207,23
30,9,25.768080914441892,5
29,7,5.415719069072167,6
28,6,53.90054209309144,4
27,12,29.360553471650444,6
26,6,44.16039804193083,5
25,61,32.130151729598474,41
24,7,,
23,3,,
19,1,,
16,1,,
