Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,48,2.771338818455549,47
55,153,0.7302401243710138,144
54,72,1.5057609551748348,54
53,34,0.6885135131878064,27
52,27,1.0930186025672586,21
51,125,0.792833948142305,11
50,76,36.900464258631224,56
49,136,11.758615928898482,125
48,147,10.86981680456713,117
47,209,9.781176331591643,174
46,176,4.174352040688169,148
45,56,2.6408335396031966,26
44,1342,2.6729998273715987,45
43,14,12.489249527126152,1
42,610,4.059320809458035,609
41,69,,
40,1,,
39,1,,
38,3,1.3584808648856326,1
37,7,1.5739880457880933,5
36,28,,
35,3,,
34,13,15.410124785445259,9
33,15,,
32,13,42.795747198342035,3
31,55,13.445485891139215,26
30,5,18.09953253607442,4
29,10,13.406284902140225,8
28,3,,
27,13,24.8964529830187,6
26,7,76.12936027080495,6
25,64,40.71341670676961,45
24,3,,
23,3,,
19,1,,
16,1,,
