Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,50,,
55,143,5.60789890510949,137
54,79,6.1937185185185175,54
53,35,17.53245357142857,28
52,23,17.927555555555553,18
51,130,18.00439615384615,13
50,72,34.46628333333334,54
49,138,19.640126818021248,125
48,146,18.426760669067743,116
47,217,17.129926892259167,181
46,169,9.672421274411485,148
45,57,9.803903517159545,27
44,1340,5.3471908023021175,44
43,15,20.326993595917784,1
42,617,9.903884297290015,616
41,62,,
40,1,,
39,3,,
38,1,,
37,5,5.718519662731658,3
36,30,,
35,3,,
34,12,23.195038255114326,8
33,15,23.733622776652012,14
32,14,36.725662503616306,3
31,53,18.966580924146797,24
30,7,10.976814116063094,4
29,10,11.579421638750718,8
28,4,,
27,11,39.085270891552064,5
26,8,77.22232670182547,6
25,60,32.72358851417485,41
24,7,,
23,3,,
19,1,,
16,1,,
