Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,49,,
55,151,8.865787996301062,144
54,66,8.488695287524427,48
53,40,6.0800805403819975,27
52,27,3.894359233897387,21
51,126,5.082966401413714,12
50,77,39.96913721243589,58
49,133,15.03178054784009,124
48,154,13.101585749459257,123
47,203,11.68247865025512,174
46,182,6.749375861340238,154
45,47,7.501889014956842,23
44,1348,4.1235820752002015,48
43,11,0.7632594293748272,1
42,603,4.9580044183522745,602
41,76,,
40,1,,
39,2,,
38,2,5.164838182485951,1
37,7,4.559756031553406,5
36,28,,
35,3,,
34,12,13.294130757982739,8
33,14,26.293799273950757,13
32,15,42.60675093774254,3
31,55,10.592911494013542,26
30,6,8.018309513861567,5
29,8,16.283011839842946,7
28,5,47.97162528551919,4
27,13,33.56498573243097,7
26,6,,
25,60,23.90528654715781,41
24,7,,
23,3,,
19,1,,
16,1,,
