Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,52,,
55,152,5.592332432432433,148
54,69,6.187350909090909,55
53,35,17.552812068965515,29
52,25,17.943435714285712,21
51,127,18.00439615384615,13
50,71,31.87236320754717,53
49,135,19.960519924703952,121
48,150,19.27058001567658,116
47,217,18.081916145117027,181
46,167,9.634891950976183,146
45,59,9.093749053533791,27
44,1339,5.612132380762137,43
43,16,10.235072674896669,1
42,602,5.6178184291951965,601
41,77,,
40,1,,
39,3,,
38,1,,
37,6,7.464553545053935,4
36,29,,
35,3,,
34,12,23.272780765502137,8
33,15,21.569117756066387,14
32,14,41.64644167676662,3
31,53,17.331495900309243,24
30,8,14.246834970999616,5
29,8,16.670372428982247,7
28,4,66.97147963699516,3
27,14,21.1658957193982,7
26,4,,
25,67,23.527521522918722,46
24,2,,
23,3,,
19,1,,
16,1,,
