Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,54,20.53827937407944,53
55,145,7.097336000345483,142
54,74,3.9810795395916516,54
53,36,4.07122678056515,29
52,21,3.126225610920457,17
51,130,5.186642594697127,12
50,78,40.1168949833364,59
49,133,14.67819487901686,125
48,150,8.846866278929989,120
47,202,8.16076986538796,170
46,183,3.403465019543244,151
45,54,3.2455516016305372,27
44,1341,2.156321811768183,45
43,14,10.09060523241668,1
42,601,3.252088901201571,600
41,78,,
40,1,,
39,2,,
38,2,5.3814750075080084,1
37,7,17.045156470873113,5
36,28,,
35,3,,
34,13,18.406686630936928,9
33,16,,
32,10,0.43266529006310867,1
31,55,10.6428924849743,24
30,8,8.421164397976092,5
29,8,9.272079955034602,7
28,5,65.49338555196844,4
27,12,23.776387458489378,6
26,6,63.36615471799019,5
25,67,20.319780489418836,47
24,1,,
23,3,,
19,1,,
16,1,,
