Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,55,0.04965597856489814,53
55,146,0.02273780670101641,143
54,73,0.018909048387654163,58
53,33,0.028754664037121805,28
52,27,0.03725249842756709,22
51,115,0.03554045232311116,112
50,84,0.02038854175508342,71
49,143,0.022923619548056794,132
48,146,0.024941980023854133,136
47,205,0.027082951504792074,192
46,176,0.027556450281056966,152
45,57,0.021693034039391264,38
44,1204,0.01323944101071358,1201
43,151,0.020935870467898368,9
42,676,0.014081713054660716,1
41,4,,
40,1,,
39,2,,
38,2,0.010486320595836152,1
37,7,0.027084667641033688,5
36,28,,
35,3,,
34,10,,
33,17,0.026734080740623216,13
32,12,0.013736883402627811,8
31,55,0.02250921719505126,24
30,8,0.01189072951445771,5
29,9,,
28,4,,
27,12,,
26,7,0.041169333818310026,6
25,59,,
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
