Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,49,,
55,152,0.030780685989104137,145
54,72,0.026346369928745488,59
53,33,0.037250080269836165,29
52,27,0.034953984369889335,23
51,114,0.04892238808951493,112
50,81,0.02826282513911119,68
49,138,0.03599620535117014,124
48,145,0.03290709301327273,127
47,201,0.04087609465777013,179
46,194,0.03692570200746911,157
45,51,0.033189882588231204,37
44,1225,0.03383191486640183,1221
43,131,0.030313991408148205,9
42,676,0.03800716439293744,1
41,3,,
40,2,0.011612550871754335,1
39,3,,
37,8,0.029834121735339336,5
36,28,,
35,3,,
34,11,,
33,15,0.028888024802782995,12
32,14,0.021563814057069426,9
31,55,0.033542018435903265,25
30,7,0.02474821045457588,5
29,9,,
28,4,,
27,12,,
26,7,0.052606808750632096,6
25,64,,
24,3,,
23,2,,
22,1,,
19,1,,
16,1,,
