Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,55,0.06618697693077527,54
55,142,0.03073861630911949,140
54,77,0.027520375934401098,59
53,34,0.028245500959344153,30
52,26,0.031623554823933545,23
51,113,0.04242663002097691,111
50,90,0.03020290245172543,76
49,132,0.029300135490902365,126
48,150,0.032793152507547746,134
47,211,0.03340774175040972,196
46,169,0.029971988669820277,149
45,59,0.024900229418694173,37
44,1205,0.018041713977831206,1201
43,152,0.02268199308948162,10
42,675,0.0011925604215911045,1
41,3,,
40,2,0.029866004174139926,1
39,3,,
38,1,,
37,7,0.022947052718738682,5
36,28,,
35,3,,
34,11,,
33,16,0.03553247329718917,13
32,13,0.015461987679059604,9
31,54,0.03344550760658195,24
30,8,0.03725459957108749,5
29,8,,
28,5,0.05000373475499052,4
27,11,,
26,7,0.06797889131847094,5
25,60,0.07254593285765913,59
24,8,,
23,3,,
19,1,,
16,1,,
