Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,52,0.04347154360784315,51
55,151,0.042973845301369856,146
54,70,0.03953216681675508,58
53,38,0.05964105149256118,33
52,22,,
51,114,0.039670444049843274,111
50,90,0.04466729810581181,76
49,136,0.04915098044391531,130
48,138,0.041670105023474464,126
47,215,0.053656493966703,192
46,175,0.04803256901917106,151
45,57,0.07235165533926441,37
44,1210,0.019497961040162715,1206
43,146,0.019980198799525038,9
42,676,0.0013406371824525865,1
41,3,,
40,2,0.08310278355639733,1
39,3,,
38,1,,
37,7,0.015911000650558428,5
36,28,,
35,3,,
34,9,,
33,17,0.05257988596499224,12
32,15,0.03111715860737001,10
31,53,0.030133928438865296,24
30,7,0.026500757499999958,4
29,10,0.05199515489039422,9
28,4,,
27,13,,
26,4,,
25,61,0.10471996097230606,59
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
