Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,46,,
55,154,0.10460709361361592,144
54,70,0.029779289624844642,56
53,36,0.0300921382868253,29
52,26,0.03158422848870423,22
51,115,0.03314602353155023,112
50,89,0.029016427802865657,76
49,130,0.032249145845310745,124
48,152,0.027522165538454837,134
47,213,0.032773643145275456,198
46,172,0.03049554464770157,154
45,51,0.028410899077232966,34
44,1218,0.016984096352857327,1211
43,141,0.019844513792209043,9
42,676,0.006223299048914166,1
41,3,,
40,1,,
39,4,0.09495857587248098,3
38,1,,
37,7,0.049210399219776525,5
36,28,,
35,3,,
34,11,,
33,17,0.03756799833227845,14
32,13,0.022628451667389592,10
31,50,0.024188360205400602,21
30,9,0.025630766877809907,3
29,11,0.04609920882657725,9
28,4,,
27,12,,
26,7,0.039949047995681324,6
25,56,,
24,11,,
23,3,,
19,1,,
16,1,,
