Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,53,0.03838776595858208,52
55,146,0.025601206700963015,142
54,70,0.017410115509831167,54
53,41,0.029866622643780375,32
52,25,0.0345230495623562,24
51,115,0.03370622176530455,114
50,86,0.038830494161253566,75
49,134,0.026581681082537733,127
48,148,0.02557705809366791,133
47,207,0.026267006641144834,191
46,183,0.021620901589231637,158
45,49,0.019572004232579106,36
44,1204,0.012968127964610823,1199
43,153,0.01761510433060851,9
42,676,0.017190035619878585,1
41,3,,
40,2,0.0021835854494061113,1
39,1,,
38,3,0.009449278935501515,1
37,7,0.024906149731531112,5
36,28,,
35,3,,
34,12,,
33,15,0.0219627168067111,13
32,14,0.010782372280477659,10
31,53,0.021531605347885757,24
30,7,0.03796539214766022,4
29,9,0.03455941172655803,8
28,5,0.01924728323245091,4
27,11,,
26,8,0.047684914624099246,6
25,60,,
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
