Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,48,,
55,150,0.06315400618462302,142
54,75,0.10496986755607979,59
53,36,0.038958587626759654,32
52,25,0.08020038271532386,24
51,112,0.053265652329227246,111
50,93,7497331.943972705,79
49,126,4.849497914179346,123
48,145,9.97200643774808,126
47,212,4242.899392277564,189
46,185,20917966.341946688,158
45,48,145088753.5842786,35
44,1210,5909484.477533043,1204
43,149,34097170.12180084,10
42,675,174747428.5392492,1
41,2,,
40,3,2290.2755030473595,1
39,3,,
38,1,,
37,7,91733.3680042211,5
36,28,,
35,3,,
34,12,,
33,14,427620.59443087084,12
32,14,42314960.71920106,9
31,55,393487.1060157554,25
30,6,4189492.577106179,4
29,9,4443287.063348419,8
28,5,5291501.803781712,4
27,13,,
26,5,,
25,64,56541565.88463928,63
24,4,,
23,3,,
19,1,,
16,1,,
