Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,47,,
55,150,0.03368899794328761,141
54,74,0.02631838268177973,57
53,38,0.045460342419209335,32
52,24,0.03336077511350252,23
51,113,0.046777775963085653,111
50,89,0.030700934107196563,75
49,130,0.03263120847049338,123
48,158,0.03167208708144913,139
47,206,0.0381682378095772,196
46,176,0.03491798166367289,156
45,51,0.03306699343362229,36
44,1202,0.03309914423163693,1197
43,155,0.03422196186683933,9
42,676,0.01117567397174496,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.020218199093032185,5
36,28,,
35,2,,
34,12,0.04895501755310493,11
33,15,0.033647471275997626,12
32,15,0.017030098072034504,10
31,53,0.034733922620034205,24
30,8,0.029174674445726367,5
29,7,,
28,5,0.04078496467068782,3
27,13,0.05148578331769025,12
26,6,0.06036270019586894,5
25,64,0.0569018210581216,63
24,4,,
23,3,,
19,1,,
16,1,,
