Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,52,0.037477082039334,51
55,144,0.019981544864971255,139
54,76,0.01974958158869428,57
53,34,0.026758763006567442,28
52,27,0.03681322122097214,22
51,119,0.03599429044797432,116
50,78,0.018093354642933858,69
49,135,0.021710848097476466,122
48,155,0.023441918310048437,135
47,208,0.026479793863638534,194
46,181,0.03012503546605895,159
45,43,0.021120363792557096,31
44,1221,0.014440482705516074,1211
43,139,0.013888584718741373,7
42,678,0.011100761947234472,1
41,3,,
40,2,0.007610003668846177,1
39,3,,
38,1,,
37,7,0.023518740502433032,5
36,28,,
35,3,,
34,13,,
33,14,0.025778343508065564,13
32,13,0.01753282426984288,9
31,54,0.023638078474044154,24
30,8,0.014250585066739563,5
29,9,,
28,4,,
27,12,,
26,6,0.030543427837382554,5
25,61,0.053681210642463124,60
24,7,,
23,3,,
19,1,,
16,1,,
