Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,49,0.05703144319148937,47
55,150,0.02809715007092199,141
54,77,0.01890531433333333,60
53,32,0.033821533793103424,29
52,26,0.03388932363636362,22
51,115,0.03619316383928571,112
50,85,0.02281982166666666,72
49,139,0.023827858294573633,129
48,147,0.025974481716417912,134
47,207,0.019095974010416662,192
46,173,0.02468649899328858,149
45,60,0.01431887789473684,38
44,1208,0.013949726680497912,1205
43,147,0.019647482222222217,9
42,676,0.02715247000000004,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.015805217999999975,5
36,28,,
35,3,,
34,13,,
33,15,0.013785457857142858,14
32,13,0.013931711000000003,10
31,54,0.02245823440000001,25
30,7,0.01577964799999996,5
29,7,,
28,6,0.013269964999999967,4
27,12,,
26,7,0.026873768333333308,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
