Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,48,0.037034801128861435,47
55,151,0.03410268409130937,142
54,75,0.026105417094172332,59
53,33,0.03537892160883153,29
52,26,0.037119197951976136,22
51,114,0.05242320069390754,111
50,89,0.02984526800438102,75
49,137,0.030492423853677845,130
48,143,0.03073470148616657,131
47,215,0.040134280171949636,197
46,174,0.033231272189136525,155
45,53,0.028629767115996473,37
44,1204,0.027242630392358982,1200
43,151,0.02811456050006416,8
42,677,0.054598700621385055,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.037226184469400556,5
36,28,,
35,2,,
34,14,0.0370410061696489,13
33,14,0.034347729096161225,13
32,13,0.028905433123364133,9
31,56,0.03092982042594921,26
30,5,0.0340497380794795,4
29,9,0.04590584956141401,8
28,4,0.05205913802539495,3
27,11,0.06324889125145411,10
26,8,0.06329461023136758,5
25,63,0.05697275858221749,62
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
