Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,51,0.039992342424707755,49
55,150,0.0519923130802226,143
54,70,0.2978284828168804,55
53,35,0.10373623992700563,27
52,26,0.043308012900896545,20
51,117,0.43168432781756716,112
50,86,9410502.583604291,73
49,141,8.410412558734778,132
48,147,0.8626255147913243,137
47,212,0.6029875913296902,200
46,175,274.6595120973332,159
45,49,10.59703230486773,37
44,1201,7.005665599053448,1197
43,153,1.5787925620830767,7
42,678,6.50225486721651,1
41,3,,
40,1,,
39,4,9.76686981450232,3
38,1,,
37,7,8.403218302603586,5
36,28,,
35,2,,
34,13,5.814382187993713,12
33,15,6.044371714401202,13
32,13,9.48287015198768,9
31,56,2.1553656444218348,26
30,5,1.3832969387499676,4
29,8,146.78436825859683,7
28,6,42.00829567653674,4
27,13,,
26,5,,
25,58,1.4808699806908903,57
24,10,,
23,3,,
19,1,,
16,1,,
