Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,49,,
55,155,0.02995839314356143,148
54,69,0.02542183135214339,59
53,37,0.03538834475251681,33
52,21,,
51,113,0.0488338644127789,109
50,89,0.0308307496562201,73
49,142,0.03043619485047046,133
48,143,0.03281740811924128,134
47,206,0.0401048011852477,191
46,182,0.034705599425316,157
45,48,0.028819375023943855,34
44,1203,0.031676853209302136,1196
43,155,0.032590334267417295,8
42,677,0.04720465894373743,1
41,4,,
40,1,,
39,1,,
38,3,0.012365132914950228,1
37,6,0.06657550174794025,4
36,29,,
35,2,,
34,13,0.0460758897117327,12
33,14,0.04208338213275361,12
32,14,0.026994652720213466,9
31,53,0.032961705483133326,23
30,9,0.028096406466030822,5
29,8,,
28,5,0.036956463519119395,4
27,13,,
26,6,,
25,61,,
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
