Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,52,0.17120963827824653,50
55,150,0.03750808522476064,144
54,71,0.03586547174729944,57
53,36,0.03597259880259577,30
52,25,0.03770101134812682,22
51,120,0.03334547411828277,117
50,80,0.03702699797759437,72
49,142,0.02905634225088341,132
48,146,0.028653970279473848,136
47,200,0.03355769097922565,187
46,183,0.031768048848451365,154
45,50,0.029428855474842367,33
44,1210,0.022636632147749705,1202
43,151,0.01780761645926541,10
42,675,0.029334645936846926,1
41,3,,
40,2,0.018496359449713617,1
39,2,,
38,2,0.023741970154342873,1
37,5,0.035858438199217225,3
36,30,,
35,2,,
34,14,0.04828568849457182,13
33,15,0.02172787213245665,14
32,12,0.03368077818376849,9
31,52,0.025838452628859823,22
30,9,0.021420143973984743,4
29,10,0.04126560617816346,9
28,4,,
27,13,,
26,5,,
25,63,0.07824961055129293,62
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
