Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,52,0.028362507414887085,51
55,143,0.021434586400479544,138
54,77,0.01995652893824864,57
53,37,0.033335979795283695,31
52,23,0.03707932538888399,21
51,119,0.033340256150135944,115
50,83,0.02105824189288073,73
49,139,0.022134178903864737,130
48,152,0.024388836982272927,140
47,198,0.02661487752985771,189
46,179,0.028478664292523118,152
45,53,0.01816443775056332,34
44,1211,0.013243964327388637,1204
43,148,0.01680170981717339,9
42,676,0.041214764118136404,1
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.02215889496229871,4
36,29,,
35,3,,
34,12,,
33,17,0.026856440771380902,15
32,12,0.013906975364906265,10
31,55,0.0224728630589259,26
30,6,0.013117813900018583,5
29,8,,
28,4,0.02495108591790483,3
27,12,0.040025191806119575,11
26,7,0.0478062871163167,5
25,57,0.0494530568992803,56
24,11,,
23,3,,
19,1,,
16,1,,
