Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,52,0.12174375012363606,50
55,150,0.03981501685296342,144
54,73,0.0291505545121472,59
53,35,0.02671582907926148,31
52,23,0.03848356729463498,21
51,117,0.04212530262616575,113
50,84,0.03658415825650486,72
49,135,0.02907845011278411,125
48,151,0.028354408201933256,134
47,203,0.0336419073801056,188
46,176,0.02813670627884051,148
45,58,0.02439742895535776,35
44,1221,0.016129004627123272,1215
43,136,0.022260669919989713,8
42,677,0.0035976614879428825,1
41,4,,
40,1,,
39,2,,
38,2,0.030619117249483074,1
37,6,0.013758191955596868,4
36,29,,
35,3,,
34,12,,
33,17,0.03302161430880764,15
32,12,0.028176818114045488,10
31,53,0.02929260533178964,24
30,7,0.026616314379776962,4
29,9,0.04889371229958936,8
28,5,0.02482038874922428,4
27,12,,
26,7,0.056233213585207185,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
