Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,53,0.03580165110354,52
55,145,0.020557052458887157,141
54,76,0.019287410747613563,59
53,33,0.02766636600479124,29
52,27,0.03770219687705003,23
51,118,0.03420053393080738,116
50,82,0.01998188047273969,73
49,136,0.023374169822060836,127
48,147,0.024432641688106074,132
47,204,0.025774933620629735,187
46,180,0.028116083005519814,151
45,56,0.02269484981897633,36
44,1210,0.013499645045292535,1205
43,148,0.021283580638386968,10
42,675,0.01477423111803905,1
41,3,,
40,1,,
39,3,0.07427089150805319,2
38,2,0.00039523633820243154,1
37,7,0.03351423255051711,5
36,28,,
35,2,,
34,13,0.014406083054960482,12
33,16,0.02675349027969404,14
32,12,0.010364572770229607,9
31,56,0.024452145668277237,26
30,6,0.01421177928062527,5
29,8,,
28,5,0.021998745971784486,4
27,13,,
26,6,,
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
