Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,51,,
55,141,0.04492417900928792,136
54,82,0.039527787167995744,60
53,32,0.05507900195632758,29
52,24,0.043225652499999996,20
51,119,0.040108690755633336,114
50,82,0.045042285765103,71
49,144,0.04542737270343746,133
48,144,0.04070087948744337,135
47,208,0.05449713860490226,194
46,168,0.04922469407456609,146
45,63,0.06915960319537899,38
44,1212,0.01987618007748726,1209
43,144,0.020987701999999997,10
42,674,,
41,4,0.04450757003704181,3
40,2,0.0829679959272126,1
39,2,,
38,2,0.029756223735955767,1
37,6,0.01620373011497009,4
36,29,,
35,3,,
34,13,,
33,13,0.054981901345557055,12
32,15,0.03125374286083997,10
31,54,0.03246687477516425,25
30,7,0.029311759643381452,5
29,9,,
28,4,,
27,13,,
26,5,,
25,58,0.1081053066595697,57
24,10,,
23,1,,
22,2,,
19,1,,
16,1,,
