Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,50,,
55,145,0.0530310152975439,139
54,76,0.4157139570566436,57
53,36,0.0701813909351676,30
52,27,0.15863443527138815,24
51,113,0.05712826931570625,112
50,84,15862135.97840062,71
49,142,0.9481148387867324,131
48,146,0.7492120551608059,135
47,201,0.10658003041776862,187
46,184,0.0794869418270805,155
45,46,0.06257884375114561,30
44,1223,0.021040330854762614,1212
43,141,0.018169480045969577,10
42,675,0.0018578500952272092,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.012195099472970239,5
36,28,,
35,3,,
34,9,,
33,18,0.05050255381631009,13
32,14,0.03501170728602142,10
31,53,0.03594048519403081,24
30,6,0.03143886790244007,3
29,10,0.0685629029082026,8
28,5,0.027728365974114308,4
27,9,,
26,10,0.07900907116784144,6
25,65,,
24,2,,
23,2,,
22,1,,
19,1,,
16,1,,
