Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,50,,
55,151,0.020360679043813393,145
54,68,0.02135079180389737,55
53,37,0.026613933330663454,29
52,27,0.038807266310581345,23
51,111,0.03479546582013703,109
50,87,0.020361322261172,71
49,135,0.021670520765183287,124
48,154,0.02464694404106772,136
47,202,0.025751665183031115,189
46,176,0.029887851096144724,149
45,58,0.02127619295273628,36
44,1219,0.013203708035915957,1214
43,139,0.019708824938351955,10
42,675,0.011091153086992267,1
41,3,,
40,2,0.006859734324524858,1
39,3,,
38,1,,
37,7,0.04097902210446207,5
36,28,,
35,3,,
34,13,,
33,16,0.027160121614071366,15
32,12,0.014415117039764013,10
31,54,0.02239899721436808,25
30,7,0.013850510953849426,5
29,8,,
28,5,0.022810659008193554,4
27,10,,
26,7,0.048514605594177584,4
25,62,0.05495352885487644,60
24,7,,
23,3,,
19,1,,
16,1,,
