Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,49,,
55,144,0.02346918225084259,137
54,73,0.01929633914101868,52
53,38,0.02835834832488968,27
52,28,0.03307812636609358,22
51,117,0.0299358957599604,114
50,84,0.0435816867843131,73
49,137,0.023498964287502738,128
48,146,0.026532807228470266,132
47,214,0.022147200829187506,197
46,173,0.02026618930043886,154
45,53,0.01622229622471138,36
44,1222,0.013439069119998976,1217
43,134,0.021659711286778467,8
42,677,0.02909837829235362,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.02529934258361476,5
36,28,,
35,3,,
34,10,,
33,18,0.023278912707873415,14
32,12,0.018197102029068282,9
31,53,0.019372984348449977,23
30,8,0.0237906006030926,4
29,9,0.03447029760390534,8
28,5,0.017940166875795582,4
27,10,,
26,9,0.014360090668874642,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
