Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,52,0.056831253725490194,51
55,152,0.02777230612244898,147
54,69,0.023815648103448283,58
53,35,0.034233961,30
52,26,0.03165827043478259,23
51,116,0.0315585344736842,114
50,87,0.01839515276315789,76
49,134,0.020363460624999996,128
48,152,0.02566853420289855,138
47,202,0.02116879958115183,191
46,171,0.02069439232876712,146
45,59,0.011286034999999984,34
44,1215,0.009775131423841048,1208
43,145,0.009241228999999995,10
42,675,1.1102230246251565e-16,1
41,4,,
39,4,0.060849956666666684,3
38,1,,
37,6,0.018619300000000005,4
36,29,,
35,2,,
34,13,0.030635517499999976,12
33,14,0.012669289166666667,12
32,14,0.005275163333333314,9
31,54,0.015353427916666667,24
30,6,0.0013674699999999818,3
29,9,0.03306164571428572,7
28,5,0.02066706333333329,3
27,13,0.02649582750000001,12
26,7,0.042578755,6
25,55,,
24,12,,
23,3,,
19,1,,
16,1,,
