Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,,
55,144,3.763924914731487e-08,139
54,79,2.7468919681454077e-08,60
53,31,4.569121185497056e-08,28
52,27,5.5335749174553e-07,22
51,116,0.014744523612923775,113
50,89,0.03706102841447793,77
49,132,0.20245088374429887,127
48,149,0.4042329481272259,134
47,208,0.39226574595498676,193
46,180,0.42690237534361464,158
45,47,0.1924765097257441,34
44,1209,0.1624834041446102,1202
43,152,0.10596111637206215,11
42.0,610.0,,
41,68,0.080479114505747,3
40,2,,
39.0,3.0,,
38.0,1.0,,
37,7,0.177221981731765,2
36.0,27.0,,
35,4,,
34,13,,
33,16,,
32,12,0.23442261332923592,2
31,52,0.16013560420387044,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
