Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,46,0.29199833491511845,45
55,158,0.4235408610121998,138
54,69,0.6978538061752007,41
53,36,0.22522182657718656,17
52,26,5.738880720420317,11
51,123,22.517631129152633,34
50,84,239909349681.72116,8
49,141,24812.928836209296,24
48,148,54.97876111223962,24
47,210,2309.883624818249,57
46,171,1095796.7667058709,114
45,47,1122315.5161723662,13
44,1344,1105973.961999086,2
43,11,1111784.600322215,7
42,601,1111248.4244784745,599
41,79,,
40,1,,
39,2,,
38,2,13089.146984709845,1
37,6,,
36,29,,
35,3,,
34,13,,
33,16,93931.3851640393,1
32,12,4716414.3007783955,1
31,56,,
30,5,,
29,9,1086575.7153794076,6
28,4,1086956.8517561206,2
27,12,1084026.4470868898,1
26,7,,
25,67,1084578.521699878,16
23,3,,
19,1,,
16,1,,
