Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,50,0.25256143661554953,49
55,149,0.24960024722668048,133
54,72,0.17167145004598672,39
53,38,0.10035890385128249,17
52,25,0.17883450030433118,10
51,123,0.23620700127579025,33
50,85,0.3074376919851858,8
49,140,0.20637496244860976,23
48,148,0.22518769150611162,23
47,215,0.24646641052508214,61
46,162,0.17469034303793754,109
45,54,0.20133531374100969,15
44,1343,0.11201710397918778,3
43,11,0.3117044324721782,8
42,606,0.31491600562634436,605
41,73,,
40,1,,
39,2,,
38,2,0.44000307363590646,1
37,7,0.322308611668923,1
36,28,,
35,3,,
34,13,,
33,16,0.30479105021601166,1
32,12,0.1407732043232136,1
31,56,,
30,5,,
29,9,0.3894689592701175,6
28,3,0.4105045487781209,1
27,13,0.6413959722713382,1
26,7,,
25,65,0.956882150030303,14
24,2,,
23,3,,
19,1,,
16,1,,
