Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,48,0.3088227773893159,47
55,150,0.22018882032988724,132
54,77,0.22189700366621215,43
53,34,0.20312641781154883,17
52,25,0.28421469415777195,10
51,121,0.24030429499285053,31
50,87,0.16311004935644396,8
49,142,0.1659522197277552,25
48,147,0.1589567847875787,24
47,213,0.1698022090254652,60
46,165,0.09024706577379346,111
45,52,0.208467356529384,15
44,1343,0.09570104482963235,3
43,10,0.31392391534423775,7
42,605,0.2513403150301079,603
41,75,,
40,1,,
39,3,,
38,1,,
37,7,0.20756821365396227,1
36,28,,
35,3,,
34,13,,
33,16,0.4528247722917795,1
32,11,,
31,57,,
30,5,,
29,8,0.37755371159928064,5
28,4,0.31150713688013576,1
27,14,0.17211397431764142,2
26,6,,
25,65,0.1395564588919499,14
24,2,,
23,3,,
19,1,,
16,1,,
