Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,50,,
55,149,0.3351997166278536,134
54,68,2.344021876089948,36
53,41,0.11590597463285221,17
52,27,1.1150158730546633,12
51,122,5.034385479666073,34
50,84,9399622411.952078,8
49,143,18948.259121196108,26
48,145,223285.3403071193,23
47,214,1557130.4537937976,60
46,163,31826910.571679838,109
45,52,3894781955.0662546,13
44,1345,98980275738.9666,3
43,9,7827396379.868931,6
42,605,13808554366.899223,602
41,76,,
40,1,,
39,3,,
38,1,,
37,7,1279497067.0821674,1
36,28,,
35,3,,
34,13,,
33,16,560004393.4631194,1
32,12,11336307433.388699,1
31,56,,
30,5,,
29,8,151544427848.06998,5
28,5,215979218034.43884,2
27,12,878143279419.7086,1
26,7,,
25,66,193922330562.55948,15
24,1,,
23,3,,
19,1,,
16,1,,
