Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,53,0.18858653846153844,52
55,149,0.21649485294117649,136
54,74,0.22135636363636363,44
53,31,0.24392106666666666,15
52,27,0.2301952,10
51,124,0.2310958023529412,34
50,85,0.16120888888888887,9
49,138,0.17856354123636364,22
48,153,0.18411379043555556,27
47,209,0.16727906860691524,59
46,162,0.1049448980877159,107
45,56,0.22704394870101333,15
44,1343,0.1025386666666667,3
43,11,0.3462287015936,8
42,597,0.26206508218769353,596
41,82,,
40,1,,
39,2,,
38,1,,
37,8,0.18059360000000002,1
36,28,,
35,3,,
34,13,,
33,15,,
32,13,0.35717999999999994,1
31,56,,
30,5,,
29,8,0.285002944,5
28,5,0.33903136,2
27,13,0.138664768,2
26,6,,
25,65,0.18240436799999998,14
24,2,,
23,3,,
19,1,,
16,1,,
