Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,52,,
55,144,0.21896076842094991,131
54,73,0.18340893294697017,38
53,38,0.19742537042315844,16
52,26,0.19612191948729055,10
51,124,0.22548385976426163,34
50,84,0.13814415034209054,8
49,143,0.18248932612491647,26
48,144,0.17684067043189666,22
47,215,0.17463426224919104,60
46,166,0.0910691897574006,112
45,50,0.1998562316524551,14
44,1343,0.13154551919437785,2
43,11,0.29627781130468567,7
42,603,0.25268686452366007,601
41,77,,
40,1,,
39,3,,
38,1,,
37,7,0.20681206609956893,1
36,28,,
35,3,,
34,13,,
33,16,0.4318993140149087,1
32,12,0.1559833790774633,1
31,56,,
30,5,,
29,9,0.24272468447996032,6
28,4,0.3386800322934575,2
27,11,,
26,8,,
25,66,0.1554395820246782,15
24,1,,
23,3,,
19,1,,
16,1,,
