Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,53,,
55,140,0.21332587394067795,128
54,80,0.1869312377058821,42
53,36,0.20570782091715284,18
52,25,0.190670999370607,11
51,119,0.22776666666666667,30
50,89,0.17943808992056126,9
49,140,0.17395817204436045,24
48,148,0.1847488665909966,24
47,213,0.1640335680970757,60
46,168,0.08231323290522402,114
45,47,0.2063268055479215,13
44,1345,0.12471757180243427,3
43,9,0.33051378932596054,6
42,602,0.2610355864272005,599
41,79,,
40,1,,
39,3,,
38,1,,
37,7,0.14861456254317806,1
36,28,,
35,3,,
34,13,,
33,16,0.41856967744425233,1
32,12,0.3885544903627617,1
31,56,,
30,5,,
29,8,0.25373621878684127,5
28,4,0.4317872025114708,1
27,14,0.028337735915181905,2
26,6,,
25,65,0.15785202982550647,14
24,2,,
23,3,,
19,1,,
16,1,,
