Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,52,0.21043725490196077,51
55,146,0.21537121212121213,132
54,74,0.18960704433497538,40
53,38,0.2078222222222222,18
52,26,0.1875637427169991,12
51,124,0.20896941058733046,36
50,83,0.1755899197751357,9
49,139,0.1473501794265733,23
48,150,0.17569936470313352,25
47,209,0.1661888145871208,57
46,166,0.08048157850096835,109
45,51,0.1870384241033456,12
44,1346,0.12234081892146455,3
43,10,0.30920837823139946,7
42,602,0.26197165154158975,600
41,78,,
40,1,,
39,3,,
38,1,,
37,7,0.1436306299384098,1
36,28,,
35,3,,
34,13,,
33,16,0.4135872501045414,1
32,12,0.3935354396759701,1
31,56,,
30,5,,
29,9,0.24288725845223547,6
28,4,0.34681832614327157,2
27,13,0.023382320849001048,2
26,6,,
25,64,0.1589880169257743,13
24,3,,
23,3,,
19,1,,
16,1,,
