Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,53,0.31796027678914107,50
55,148,0.21630941486492256,133
54,75,0.18318272705933777,42
53,34,0.19662409038598183,16
52,27,0.1890588409994709,11
51,124,0.21785083249395198,35
50,82,0.16883367546714467,7
49,140,0.18708207311642305,22
48,151,0.17471397222311758,25
47,209,0.17518210011854574,57
46,164,0.08385082728362422,107
45,51,0.22081771821215754,10
44,1348,0.12608844412295733,3
43,8,0.30240111303799694,5
42,617,0.25545277239765996,613
41,65,,
39,4,0.1517686263125546,3
38,1,,
37,7,0.20674694311339548,1
36,28,,
35,3,,
34,13,,
33,16,0.3607765427874236,1
32,12,0.13389476902376163,1
31,56,,
30,5,,
29,8,0.23268971945294115,5
28,5,0.33651090786474336,2
27,12,0.007010565173193817,1
26,7,,
25,67,0.16985129375951807,16
23,3,,
19,1,,
16,1,,
