Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,51,0.21043113706501998,50
55,148,0.21618016087879652,133
54,74,0.20953283217995156,41
53,36,0.1832973143596774,17
52,27,0.18416210175419762,12
51,124,0.23786850460583214,36
50,82,0.1439948339478921,8
49,138,0.18809238740153889,21
48,151,0.18834041393382445,24
47,211,0.17384623830134127,58
46,167,0.08568768298018502,111
45,51,0.21821971340050417,14
44,1344,0.09386795224876535,3
43,11,0.3021885216507111,8
42,600,0.25716487710196106,599
41,79,,
40,1,,
39,3,,
38,1,,
37,7,0.1710523328191687,1
36,28,,
35,3,,
34,13,,
33,15,,
32,13,0.2360714570555057,1
31,56,,
30,5,,
29,8,0.17913794311376627,5
28,5,0.375356726146991,2
27,13,0.05506311515369755,2
26,6,,
25,65,0.18234992919979093,14
24,2,,
23,3,,
19,1,,
16,1,,
